datetime,Strategy,Benchmark Buy & Hold
2017-04-07 00:00:00+00:00,21673.438160000005,52242.579999999994
2017-04-08 00:00:00+00:00,21004.23040000001,54979.840000000004
2017-04-09 00:00:00+00:00,20383.800940000012,54129.07
2017-04-10 00:00:00+00:00,20007.332860000013,54005.77
2017-04-11 00:00:00+00:00,19560.554760000014,54104.41
2017-04-12 00:00:00+00:00,20118.776660000014,57248.56
2017-04-13 00:00:00+00:00,21590.97666000001,61440.76
2017-04-14 00:00:00+00:00,20315.923860000017,58222.63
2017-04-15 00:00:00+00:00,19239.31062000002,60183.100000000006
2017-04-16 00:00:00+00:00,18575.22362000002,59529.61
2017-04-17 00:00:00+00:00,18347.725320000016,59048.74
2017-04-18 00:00:00+00:00,18533.546380000014,61490.079999999994
2017-04-19 00:00:00+00:00,17843.486380000017,59196.7
2017-04-20 00:00:00+00:00,17856.07682000001,60910.57
2017-04-21 00:00:00+00:00,17564.619220000015,59837.86
2017-04-22 00:00:00+00:00,17201.577000000016,59973.49
2017-04-23 00:00:00+00:00,17124.138760000013,60417.37
2017-04-24 00:00:00+00:00,17525.488760000015,61835.32
2017-04-25 00:00:00+00:00,17584.818760000013,62044.93
2017-04-26 00:00:00+00:00,18659.738760000015,65842.57
2017-04-27 00:00:00+00:00,22058.998760000013,78554.8
2017-04-28 00:00:00+00:00,22058.998760000013,91119.07
2017-04-29 00:00:00+00:00,22058.998760000013,86963.86
2017-04-30 00:00:00+00:00,22058.998760000013,99922.69
2017-05-01 00:00:00+00:00,22058.998760000013,97666.29999999999
2017-05-02 00:00:00+00:00,21374.844960000017,96014.08
2017-05-03 00:00:00+00:00,21493.475680000014,100243.27
2017-05-04 00:00:00+00:00,25355.795680000017,118282.06000000001
2017-05-05 00:00:00+00:00,25250.195680000015,113313.07
2017-05-06 00:00:00+00:00,25250.195680000015,118109.44
2017-05-07 00:00:00+00:00,25250.195680000015,116333.92
2017-05-08 00:00:00+00:00,26343.008180000015,110353.87
2017-05-09 00:00:00+00:00,27133.868180000016,106728.85
2017-05-10 00:00:00+00:00,25392.732140000015,108985.24
2017-05-11 00:00:00+00:00,24711.389040000013,108874.27
2017-05-12 00:00:00+00:00,25025.56166000001,105236.92
2017-05-13 00:00:00+00:00,24200.82166000001,108948.25
2017-05-14 00:00:00+00:00,24608.59316000001,110279.89
2017-05-15 00:00:00+00:00,25029.34316000001,112166.38
2017-05-16 00:00:00+00:00,24807.04416000002,108529.03
2017-05-17 00:00:00+00:00,25142.54416000002,107024.77
2017-05-18 00:00:00+00:00,24380.848920000015,118269.73
2017-05-19 00:00:00+00:00,26677.00892000001,154606.24
2017-05-20 00:00:00+00:00,26677.00892000001,151684.03
2017-05-21 00:00:00+00:00,26677.00892000001,183211.84000000003
2017-05-22 00:00:00+00:00,26677.00892000001,201891.79
2017-05-23 00:00:00+00:00,26677.00892000001,208599.31
2017-05-24 00:00:00+00:00,26677.00892000001,241323.13
2017-05-25 00:00:00+00:00,26677.00892000001,223617.25
2017-05-26 00:00:00+00:00,27407.350040000012,201669.84999999998
2017-05-27 00:00:00+00:00,34977.22520000001,196910.46999999997
2017-05-28 00:00:00+00:00,38595.105200000005,217279.63
2017-05-29 00:00:00+00:00,42686.02520000001,240312.07000000004
2017-05-30 00:00:00+00:00,45903.135200000004,281666.88999999996
2017-05-31 00:00:00+00:00,45903.135200000004,281198.35
2017-06-01 00:00:00+00:00,44480.07368000001,273442.78
2017-06-02 00:00:00+00:00,43027.36886000001,273578.41
2017-06-03 00:00:00+00:00,42303.642620000006,277117.12
2017-06-04 00:00:00+00:00,46136.96262,302257.99
2017-06-05 00:00:00+00:00,46663.36262,305710.38999999996
2017-06-06 00:00:00+00:00,49812.36262,326363.13999999996
2017-06-07 00:00:00+00:00,47505.91094,314945.56
2017-06-08 00:00:00+00:00,45758.17396000001,318841.83999999997
2017-06-09 00:00:00+00:00,47782.25134,344229.31
2017-06-10 00:00:00+00:00,54350.36134,421513.75
2017-06-11 00:00:00+00:00,54350.36134,427888.3599999999
2017-06-12 00:00:00+00:00,54350.36134,485555.77
2017-06-13 00:00:00+00:00,54350.36134,478059.13
2017-06-14 00:00:00+00:00,57340.77034,420835.6
2017-06-15 00:00:00+00:00,65928.27034,423535.87
2017-06-16 00:00:00+00:00,65116.486,436815.27999999997
2017-06-17 00:00:00+00:00,67810.246,454965.04
2017-06-18 00:00:00+00:00,62477.5104,435027.43
2017-06-19 00:00:00+00:00,60295.74017999998,441562.33
2017-06-20 00:00:00+00:00,53432.09445999999,432721.72
2017-06-21 00:00:00+00:00,57705.03445999999,399997.9
2017-06-22 00:00:00+00:00,58415.04445999999,394560.37
2017-06-23 00:00:00+00:00,55937.574999999975,402328.27
2017-06-24 00:00:00+00:00,56705.980599999966,376028.38
2017-06-25 00:00:00+00:00,61153.69059999997,343958.04999999993
2017-06-26 00:00:00+00:00,70721.14059999997,317892.43
2017-06-27 00:00:00+00:00,72374.52267999997,353378.17
2017-06-28 00:00:00+00:00,79022.28267999996,388900.9
2017-06-29 00:00:00+00:00,79022.28267999996,360024.04
2017-06-30 00:00:00+00:00,75856.42763999995,346473.37
2017-07-01 00:00:00+00:00,80498.44763999995,323206.66
2017-07-02 00:00:00+00:00,77498.91731999995,349703.83
2017-07-03 00:00:00+00:00,75527.85731999995,340801.56999999995
2017-07-04 00:00:00+00:00,72187.92071999997,332293.87
2017-07-05 00:00:00+00:00,73148.88071999996,327953.71
2017-07-06 00:00:00+00:00,70363.79773999994,327990.69999999995
2017-07-07 00:00:00+00:00,76895.15773999994,297486.28
2017-07-08 00:00:00+00:00,75646.43773999994,303318.37
2017-07-09 00:00:00+00:00,78180.83773999994,291481.57
2017-07-10 00:00:00+00:00,85226.99773999993,258572.80000000002
2017-07-11 00:00:00+00:00,91301.63773999995,237858.40000000002
2017-07-12 00:00:00+00:00,93350.78407999994,275378.59
2017-07-13 00:00:00+00:00,79246.59307999995,252235.17999999996
2017-07-14 00:00:00+00:00,81733.69307999994,244898.83
2017-07-15 00:00:00+00:00,94010.35307999994,208685.62
2017-07-16 00:00:00+00:00,100163.31307999993,192779.92
2017-07-17 00:00:00+00:00,101317.67649999993,234282.69999999998
2017-07-18 00:00:00+00:00,111371.77199999994,278017.21
2017-07-19 00:00:00+00:00,127455.25639999993,239079.07000000004
2017-07-20 00:00:00+00:00,97381.41621999994,277856.92
2017-07-21 00:00:00+00:00,94410.61851999993,268782.04000000004
2017-07-22 00:00:00+00:00,95895.86023999994,285156.28
2017-07-23 00:00:00+00:00,89435.84957999994,282973.87
2017-07-24 00:00:00+00:00,86555.86257999994,278350.12
2017-07-25 00:00:00+00:00,94609.36257999996,252888.67
2017-07-26 00:00:00+00:00,95658.46257999995,249571.90000000002
2017-07-27 00:00:00+00:00,95447.86257999996,250237.71999999997
2017-07-28 00:00:00+00:00,97488.15593999997,235749.96999999997
2017-07-29 00:00:00+00:00,99397.53809999995,253369.54
2017-07-30 00:00:00+00:00,94833.18809999994,241717.69
2017-07-31 00:00:00+00:00,92651.35745999996,247623.76000000004
2017-08-01 00:00:00+00:00,104397.63745999995,279040.6
2017-08-02 00:00:00+00:00,100442.25745999995,268461.45999999996
2017-08-03 00:00:00+00:00,103323.50745999995,276167.71
2017-08-04 00:00:00+00:00,100730.99569999996,272197.44999999995
2017-08-05 00:00:00+00:00,108297.25891999995,309483.37
2017-08-06 00:00:00+00:00,114348.49891999995,326794.69
2017-08-07 00:00:00+00:00,116421.60891999996,332725.42
2017-08-08 00:00:00+00:00,127054.37891999994,363143.52999999997
2017-08-09 00:00:00+00:00,127696.56891999995,364980.69999999995
2017-08-10 00:00:00+00:00,129670.54891999994,370627.83999999997
2017-08-11 00:00:00+00:00,128412.65620000001,382205.71
2017-08-12 00:00:00+00:00,128114.5762,381317.94999999995
2017-08-13 00:00:00+00:00,123990.03769999999,364980.69999999995
2017-08-14 00:00:00+00:00,122832.18769999998,368420.77
2017-08-15 00:00:00+00:00,128310.18769999998,352145.17
2017-08-16 00:00:00+00:00,125058.4249,370455.22
2017-08-17 00:00:00+00:00,125112.5049,370615.50999999995
2017-08-18 00:00:00+00:00,125958.70775999998,361540.63
2017-08-19 00:00:00+00:00,125566.72775999998,362699.65
2017-08-20 00:00:00+00:00,126114.23856,367570.0
2017-08-21 00:00:00+00:00,135031.07856,393561.63999999996
2017-08-22 00:00:00+00:00,122370.23813999996,388395.37
2017-08-23 00:00:00+00:00,123194.46981999995,391009.33
2017-08-24 00:00:00+00:00,124459.68411999996,400417.12
2017-08-25 00:00:00+00:00,126585.33411999997,407260.27
2017-08-26 00:00:00+00:00,127615.60411999996,410577.04
2017-08-27 00:00:00+00:00,132824.40411999996,427345.83999999997
2017-08-28 00:00:00+00:00,133299.32411999995,428874.75999999995
2017-08-29 00:00:00+00:00,142797.72411999997,459453.16
2017-08-30 00:00:00+00:00,147186.90411999996,473583.33999999997
2017-08-31 00:00:00+00:00,148837.63411999994,478897.56999999995
2017-09-01 00:00:00+00:00,150549.64411999995,484409.08
2017-09-02 00:00:00+00:00,155658.57303999996,436223.44
2017-09-03 00:00:00+00:00,155945.82303999996,435298.69
2017-09-04 00:00:00+00:00,170852.18303999997,387310.33
2017-09-05 00:00:00+00:00,168983.14303999997,393327.37
2017-09-06 00:00:00+00:00,164290.07615999997,418443.58
2017-09-07 00:00:00+00:00,162455.71615999995,413770.50999999995
2017-09-08 00:00:00+00:00,172306.38219999993,378543.69999999995
2017-09-09 00:00:00+00:00,173260.74219999995,376102.3599999999
2017-09-10 00:00:00+00:00,175289.96219999992,370911.43
2017-09-11 00:00:00+00:00,159099.85587999993,368013.88
2017-09-12 00:00:00+00:00,150396.1700799999,363118.87
2017-09-13 00:00:00+00:00,159993.17007999987,340579.63
2017-09-14 00:00:00+00:00,183213.92007999987,275008.69
2017-09-15 00:00:00+00:00,181263.75007999988,321468.13
2017-09-16 00:00:00+00:00,177816.55007999984,315352.44999999995
2017-09-17 00:00:00+00:00,165182.18311999986,320111.83
2017-09-18 00:00:00+00:00,189038.54311999984,366361.66
2017-09-19 00:00:00+00:00,180827.78311999986,350443.63
2017-09-20 00:00:00+00:00,167141.0681999998,350184.69999999995
2017-09-21 00:00:00+00:00,181811.66819999978,319421.35
2017-09-22 00:00:00+00:00,178959.86819999976,325401.4
2017-09-23 00:00:00+00:00,181250.17059999978,353131.56999999995
2017-09-24 00:00:00+00:00,179221.4505999998,349173.63999999996
2017-09-25 00:00:00+00:00,186312.49059999982,363007.9
2017-09-26 00:00:00+00:00,183158.81059999982,356855.23
2017-09-27 00:00:00+00:00,184786.39861999982,382230.37
2017-09-28 00:00:00+00:00,180304.47861999983,372958.21
2017-09-29 00:00:00+00:00,169252.85691999982,359518.50999999995
2017-09-30 00:00:00+00:00,166845.57771999983,371860.83999999997
2017-10-01 00:00:00+00:00,167625.30771999984,373599.37
2017-10-02 00:00:00+00:00,166118.41731999983,365868.46
2017-10-03 00:00:00+00:00,168927.19731999983,359617.15
2017-10-04 00:00:00+00:00,168628.03731999986,360282.97
2017-10-05 00:00:00+00:00,168179.37911999982,363513.43
2017-10-06 00:00:00+00:00,175976.97911999983,380380.87
2017-10-07 00:00:00+00:00,177806.6791199998,384338.79999999993
2017-10-08 00:00:00+00:00,176375.9791199998,381243.97
2017-10-09 00:00:00+00:00,181513.82411999983,365202.63999999996
2017-10-10 00:00:00+00:00,180520.28411999982,367348.06
2017-10-11 00:00:00+00:00,175566.9730999998,372366.37
2017-10-12 00:00:00+00:00,175578.5930999998,372391.02999999997
2017-10-13 00:00:00+00:00,181764.4565399998,413955.46
2017-10-14 00:00:00+00:00,183474.0165399998,417851.74
2017-10-15 00:00:00+00:00,169964.5063799998,414152.74
